code,locale,name,descr
CAT01,en,General Inquiry,"Customer has a general question or request"
CAT01,fr,Demande générale,"Le client a une question ou une demande générale"
CAT02,en,Technical Issue,"Problem related to system or application"
CAT02,fr,Problème technique,"Problème lié au système ou à l'application"
CAT03,en,Billing Issue,"Issue related to invoices or payments"
CAT03,fr,Problème de facturation,"Problème lié aux factures ou aux paiements"
CAT04,en,Account Issue,"User account related problem"
CAT04,fr,Problème de compte,"Problème lié au compte utilisateur"
CAT05,en,Security Issue,"Potential security concern identified"
CAT05,fr,Problème de sécurité,"Problème de sécurité potentiel identifié"
CAT06,en,Feature Request,"Request for a new feature or enhancement"
CAT06,fr,Demande de fonctionnalité,"Demande d’une nouvelle fonctionnalité ou amélioration"
CAT07,en,Login Problem,"User unable to log in to the system"
CAT07,fr,Problème de connexion,"L’utilisateur ne peut pas se connecter au système"
CAT08,en,Performance Issue,"System is slow or unresponsive"
CAT08,fr,Problème de performance,"Le système est lent ou ne répond pas"
CAT09,en,Data Error,"Incorrect or inconsistent data observed"
CAT09,fr,Erreur de données,"Données incorrectes ou incohérentes détectées"
CAT10,en,Other,"Issues not covered by predefined categories"
CAT10,fr,Autre,"Problèmes non couverts par les catégories prédéfinies"
