up__ID,ID,timestamp,author,message
INC01,A1B2C,2024-01-01T09:05:00Z,customer1,Issue reported with login
INC01,D3E4F,2024-01-01T09:10:00Z,support1,We are checking the issue
INC02,G5H6J,2024-01-02T10:00:00Z,customer2,Application is crashing
INC02,K7L8M,2024-01-02T10:15:00Z,support2,Please share error details
INC03,N9P0Q,2024-01-03T11:20:00Z,customer3,Unable to reset password
INC03,R1S2T,2024-01-03T11:30:00Z,support1,Reset link has been sent
INC04,U3V4W,2024-01-04T12:00:00Z,customer4,Payment not going through
INC04,X5Y6Z,2024-01-04T12:10:00Z,support3,Checking payment gateway
INC05,A7C8D,2024-01-05T13:05:00Z,customer5,Page loading very slowly
INC05,E9F1G,2024-01-05T13:15:00Z,support2,Performance team notified
INC06,H2J3K,2024-01-06T14:00:00Z,customer6,Account locked automatically
INC06,L4M5N,2024-01-06T14:10:00Z,support1,Account unlocked now
INC07,P6Q7R,2024-01-07T15:20:00Z,customer7,Wrong data shown on dashboard
INC07,S8T9U,2024-01-07T15:30:00Z,support4,We are investigating
INC08,V0W1X,2024-01-08T16:00:00Z,customer8,Email notifications not received
INC08,Y2Z3A,2024-01-08T16:15:00Z,support2,Mail service restarted
INC09,B4C5E,2024-01-09T17:10:00Z,customer9,Report export failed
INC09,F6G7H,2024-01-09T17:25:00Z,support3,Fix deployed please retry
INC10,J8K9L,2024-01-10T18:00:00Z,customer10,Issue resolved thank you
